,zipcode,state,lng,lat
28486,97138,OR,-123.878837,45.969506
28487,97140,OR,-122.856724,45.351419
28488,97141,OR,-123.818851,45.449185
28489,97144,OR,-123.311852,45.727033
28490,97145,OR,-123.95887,45.886172
28491,97146,OR,-123.925366,46.145017
28492,97148,OR,-123.203639,45.335049
28493,97149,OR,-123.926344,45.178165
28494,97201,OR,-122.690258,45.498819
28495,97202,OR,-122.636534,45.484007
28496,97203,OR,-122.734699,45.588872
28497,97204,OR,-122.674498,45.51807
28498,97205,OR,-122.688846,45.52072
28499,97206,OR,-122.59727,45.483995
28500,97209,OR,-122.685447,45.526962
28501,97210,OR,-122.703348,45.530318
28502,97211,OR,-122.644815,45.565259
28503,97212,OR,-122.642319,45.544127
28504,97213,OR,-122.59867,45.537292
28505,97214,OR,-122.636397,45.514207
28506,97215,OR,-122.599001,45.514282
28507,97216,OR,-122.55688,45.513746
28508,97217,OR,-122.684196,45.57424
28509,97218,OR,-122.600131,45.560032
28510,97219,OR,-122.70738,45.457956
28511,97220,OR,-122.556586,45.541109
28512,97221,OR,-122.726723,45.491829
28513,97222,OR,-122.615092,45.442919
28514,97223,OR,-122.775974,45.443343
28515,97224,OR,-122.788379,45.407292
28516,97225,OR,-122.768344,45.500449
28517,97227,OR,-122.674257,45.549564
28518,97229,OR,-122.829924,45.541087
28519,97230,OR,-122.500343,45.535753
28520,97231,OR,-122.838032,45.640124
28521,97232,OR,-122.63631,45.528712
28522,97233,OR,-122.498493,45.514206
28523,97236,OR,-122.509091,45.488748
28524,97266,OR,-122.559607,45.476207
28525,97267,OR,-122.610631,45.407494
28526,97301,OR,-122.979692,44.926039
28527,97302,OR,-123.044514,44.903899
28528,97303,OR,-123.019015,44.985794
28529,97304,OR,-123.075323,44.958846
28530,97305,OR,-122.966892,44.982502
28531,97306,OR,-123.043789,44.8685
28532,97321,OR,-123.094409,44.627722
28533,97324,OR,-123.60892,44.369068
28534,97325,OR,-122.878575,44.817817
28535,97326,OR,-123.606715,44.628141
28536,97327,OR,-122.948491,44.376974
28537,97329,OR,-122.464214,44.392239
28538,97330,OR,-123.272171,44.590411
28539,97331,OR,-123.277889,44.563783
28540,97333,OR,-123.279908,44.539281
28541,97338,OR,-123.319991,44.922534
28542,97341,OR,-124.03234,44.851445
28543,97342,OR,-122.18447,44.776619
28544,97343,OR,-123.753096,44.637139
28545,97344,OR,-123.446149,44.870597
28546,97345,OR,-122.544898,44.383556
28547,97346,OR,-122.399498,44.752716
28548,97347,OR,-123.633518,45.074973
28549,97348,OR,-123.125103,44.386151
28550,97350,OR,-122.047574,44.701484
28551,97351,OR,-123.187913,44.848098
28552,97352,OR,-123.00596,44.749452
28553,97355,OR,-122.882064,44.531558
28554,97357,OR,-123.773645,44.747514
28555,97358,OR,-122.820083,44.776792
28556,97360,OR,-122.476825,44.751566
28557,97361,OR,-123.251233,44.837706
28558,97362,OR,-122.785611,45.073727
28559,97364,OR,-123.984337,44.998801
28560,97365,OR,-124.050903,44.648653
28561,97366,OR,-124.059968,44.57122
28562,97367,OR,-123.99556,44.968139
28563,97368,OR,-123.933244,45.013755
28564,97370,OR,-123.392271,44.548817
28565,97371,OR,-123.206424,45.020032
28566,97374,OR,-122.768356,44.716792
28567,97375,OR,-122.665418,45.022
28568,97376,OR,-124.060708,44.477749
28569,97377,OR,-123.106462,44.452951
28570,97378,OR,-123.400335,45.089703
28571,97380,OR,-123.906239,44.731333
28572,97381,OR,-122.762724,44.991041
28573,97383,OR,-122.76241,44.80211
28574,97385,OR,-122.800718,44.842523
28575,97386,OR,-122.728561,44.398111
28576,97389,OR,-123.110815,44.54973
28577,97390,OR,-123.914861,44.405538
28578,97391,OR,-123.930119,44.627082
28579,97392,OR,-122.950117,44.847607
28580,97394,OR,-124.035053,44.408497
28581,97396,OR,-123.504708,45.082605
28582,97401,OR,-123.078757,44.073677
28583,97402,OR,-123.155525,44.061243
28584,97403,OR,-123.061422,44.038534
28585,97404,OR,-123.13336,44.100536
28586,97405,OR,-123.099769,44.018497
28587,97406,OR,-124.064769,42.574788
28588,97410,OR,-123.155017,42.844992
28589,97411,OR,-124.40367,43.096806
28590,97412,OR,-123.534816,44.196597
28591,97413,OR,-122.222951,44.177809
28592,97414,OR,-124.118924,42.985048
28593,97415,OR,-124.267811,42.064004
28594,97416,OR,-123.665465,43.05566
28595,97417,OR,-123.278015,42.930683
28596,97419,OR,-123.371516,44.178206
28597,97420,OR,-124.233101,43.362812
28598,97423,OR,-124.201386,43.188413
28599,97424,OR,-123.05291,43.783934
28600,97426,OR,-123.02838,43.90583
28601,97427,OR,-122.752417,43.684534
28602,97429,OR,-123.14387,42.981946
28603,97430,OR,-123.688328,44.145131
28604,97431,OR,-122.842351,43.921691
28605,97434,OR,-122.885796,43.758655
28606,97435,OR,-123.292922,43.687659
28607,97436,OR,-123.590014,43.637761
28608,97437,OR,-123.367051,44.08726
28609,97438,OR,-122.785904,43.95616
28610,97439,OR,-124.099303,43.988099
28611,97441,OR,-124.143695,43.785736
28612,97442,OR,-123.394302,42.751751
28613,97443,OR,-122.963846,43.277395
28614,97444,OR,-124.396072,42.434818
28615,97446,OR,-123.143165,44.271656
28616,97447,OR,-122.901789,43.371571
28617,97448,OR,-123.230014,44.198792
28618,97449,OR,-124.162364,43.583306
28619,97450,OR,-124.441322,42.915386
28620,97451,OR,-123.247679,43.829044
28621,97452,OR,-122.780627,43.920993
28622,97453,OR,-123.865735,44.031189
28623,97454,OR,-122.82464,44.206439
28624,97455,OR,-122.928487,43.945816
28625,97456,OR,-123.32033,44.32446
28626,97457,OR,-123.285054,43.016161
28627,97458,OR,-124.121327,43.066694
28628,97459,OR,-124.213103,43.432665
28629,97461,OR,-123.456962,44.119509
28630,97462,OR,-123.355774,43.452968
28631,97463,OR,-122.457711,43.749767
28632,97465,OR,-124.491283,42.757194
28633,97466,OR,-124.066441,42.891006
28634,97467,OR,-124.105476,43.695701
28635,97468,OR,-123.89149,43.007909
28636,97469,OR,-123.361247,42.938867
28637,97470,OR,-123.366437,43.222726
28638,97473,OR,-123.804065,43.676481
28639,97476,OR,-124.44093,42.824984
28640,97477,OR,-123.015259,44.06106
28641,97478,OR,-122.917108,44.056056
28642,97479,OR,-123.297425,43.390404
28643,97480,OR,-123.827899,44.089903
28644,97481,OR,-123.530104,43.137116
28645,97484,OR,-122.908088,42.985896
28646,97486,OR,-123.535771,43.374537
28647,97487,OR,-123.35159,44.038235
28648,97488,OR,-122.504429,44.130041
28649,97489,OR,-122.629064,44.135163
28650,97490,OR,-123.589304,44.028194
28651,97492,OR,-122.514095,43.756636
28652,97493,OR,-124.033364,43.914017
28653,97496,OR,-123.432481,43.104855
28654,97497,OR,-123.351538,42.655128
28655,97498,OR,-124.086262,44.325563
28656,97499,OR,-123.292562,43.60434
28657,97501,OR,-122.887011,42.319293
28658,97502,OR,-122.922235,42.389914
28659,97503,OR,-122.82962,42.431919
28660,97504,OR,-122.839801,42.336251
28661,97520,OR,-122.693033,42.188509
28662,97522,OR,-122.563801,42.549243
28663,97523,OR,-123.627199,42.134789
28664,97524,OR,-122.808802,42.493467
28665,97525,OR,-123.08543,42.424436
28666,97526,OR,-123.345727,42.463758
28667,97527,OR,-123.353799,42.398913
28668,97530,OR,-123.028098,42.254894
28669,97531,OR,-123.657302,42.209343
28670,97532,OR,-123.439256,42.529654
28671,97534,OR,-123.720898,42.068816
28672,97535,OR,-122.822694,42.276555
28673,97536,OR,-122.50898,42.754394
28674,97537,OR,-123.158726,42.488889
28675,97538,OR,-123.568394,42.296358
28676,97539,OR,-122.812191,42.607575
28677,97540,OR,-122.78605,42.236252
28678,97541,OR,-122.816029,42.686358
28679,97543,OR,-123.513861,42.392483
28680,97544,OR,-123.282877,42.223049
28681,97601,OR,-121.786969,42.229601
28682,97603,OR,-121.724124,42.191915
28683,97620,OR,-119.883291,42.148697
28684,97621,OR,-121.219962,42.436942
28685,97623,OR,-121.333558,42.246268
28686,97624,OR,-121.744959,42.546293
28687,97625,OR,-121.642453,42.258141
28688,97627,OR,-121.972427,42.175472
28689,97630,OR,-120.377533,42.185443
28690,97632,OR,-121.422121,42.019502
28691,97633,OR,-121.598545,42.029516
28692,97635,OR,-120.28939,42.027759
28693,97636,OR,-120.553208,42.703089
28694,97637,OR,-119.894722,42.503493
28695,97638,OR,-120.780109,43.258164
28696,97640,OR,-121.063254,42.831302
28697,97701,OR,-121.293632,44.092788
28698,97702,OR,-121.298543,44.022332
28699,97707,OR,-121.457871,43.850336
28700,97711,OR,-120.719161,44.719479
28701,97712,OR,-120.477035,43.778877
28702,97720,OR,-119.050398,43.51451
28703,97730,OR,-121.639363,44.454997
28704,97731,OR,-121.8447,43.124669
28705,97732,OR,-118.4642,43.426219
28706,97733,OR,-121.664813,43.497226
28707,97734,OR,-121.234353,44.481796
28708,97735,OR,-121.08243,43.44615
28709,97737,OR,-121.886596,43.30759
28710,97739,OR,-121.519445,43.709125
28711,97740,OR,-118.8418,43.561816
28712,97741,OR,-121.134924,44.637579
28713,97750,OR,-120.145579,44.565734
28714,97751,OR,-119.782768,44.210243
28715,97752,OR,-120.299781,44.079273
28716,97753,OR,-121.011326,44.241512
28717,97754,OR,-120.833616,44.30445
28718,97756,OR,-121.189604,44.27669
28719,97758,OR,-116.900621,44.930529
28720,97759,OR,-121.524133,44.307329
28721,97760,OR,-121.167565,44.355505
28722,97761,OR,-121.290941,44.746826
28723,97801,OR,-118.783104,45.660535
28724,97810,OR,-118.617582,45.749678
28725,97812,OR,-120.197148,45.666417
28726,97813,OR,-118.497147,45.828893
28727,97814,OR,-117.828631,44.780102
28728,97818,OR,-119.72057,45.827165
28729,97820,OR,-118.950155,44.410005
28730,97823,OR,-120.189834,45.230587
28731,97824,OR,-117.814741,45.319902
28732,97825,OR,-119.531178,44.466307
