,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
4117474,1171.0,0,16293.0,2294.84,38611,11716,MTNORAM.INTERMODAL,MTNORAM.53IM,10/6/2021 10:00,10/12/2021 9:00
1975181,1135.71,3,9.0,1800.0,38637,10005-3701,CORP.PARCEL,CORP.53DV,10/16/2021 22:10,10/20/2021 19:10
4184898,260.0,0,16312.78,865.59,93706,92336,MTNORAM.TL,MTNORAM.53DV,6/28/2022 8:00,6/28/2022 16:30
3375549,649.3,8,2.3,0.19,37921,32835-5700,MTNORAM.PARCEL,MTNORAM.53DV,8/17/2022 21:08,8/18/2022 18:08
3881643,456.7,1,1.65,0.2,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/8/2022 1:03,3/9/2022 19:03
2922702,97.9,3,0.84,0.08,17345,20037-3201,MTNORAM.PARCEL,MTNORAM.53DV,8/15/2022 16:08,8/16/2022 17:08
83197,1600.9,10,2.5,0.0,38134,84790,CORP.PARCEL,CORP.53DV,9/6/2022 20:09,9/7/2022 16:09
3592198,319.4,1,0.27,0.03,37921,31088-6308,MTNORAM.PARCEL,MTNORAM.53DV,2/9/2022 22:02,2/10/2022 22:02
1513865,564.5,1,1.5,0.05,38134,43123,CORP.PARCEL,CORP.53DV,11/2/2021 20:11,11/3/2021 18:11
1008670,554.5,3,72.5,21407.47,38637,41105,CORP.PARCEL,CORP.53DV,3/12/2022 23:03,3/15/2022 19:03
4639354,234.0,2,1.11,0.05,17345,11729,MTNORAM.PARCEL,MTNORAM.53DV,6/9/2022 21:06,6/10/2022 18:06
4586793,1427.7,3,5.24,0.28,17345,76104,MTNORAM.PARCEL,MTNORAM.53DV,4/27/2022 17:04,4/28/2022 19:04
3492873,1063.3,60,11.69,0.76,8512,38654,MTNORAM.PARCEL,MTNORAM.53DV,8/29/2022 23:08,8/30/2022 20:08
2216676,791.0,12,36.0,2.64,53158,30096,CORP.PARCEL,CORP.53DV,5/10/2022 22:05,5/13/2022 12:05
1877681,266.2,14735,149.0,19.83,75261,77489,CORP.TL,CORP.53BK,11/16/2021 2:11,11/16/2021 7:11
3147991,326.6,10,34569.0,2669303.0,54879,54879,MTNORAM.TL,MTNORAM.53DV,7/25/2022 8:00,7/25/2022 13:30
1825066,327.4,1,1600.0,180.0,77054,70364,CORP.TL,CORP.53DV,11/12/2021 5:11,11/12/2021 11:11
3416781,726.5,40,1.59,0.06,17345,62535,MTNORAM.PARCEL,MTNORAM.53DV,8/22/2022 21:08,8/25/2022 4:08
