,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
1330013,1084.0,24,24000.0,2500.0,87120,94801,CORP.TL,CORP.53DV,1/10/2022 20:00,1/12/2022 20:00
4438260,150.9,0,102.51,10.19,55121,56258,MTNORAM.LTL,MTNORAM.53DV,6/8/2022 5:06,6/9/2022 15:06
1545790,469.1,1,0.15,0.01,38134,75230.0,CORP.PARCEL,CORP.53DV,9/28/2021 22:09,9/30/2021 23:09
1076832,57.6,4,398.0,71.43,91730,90302,CORP.LTL,CORP.53DV,2/8/2022 2:02,2/8/2022 13:02
2033293,47.6,1,111.0,50.47,7647,11743-3842,CORP.LTL,CORP.53DV,10/20/2021 7:10,11/3/2021 14:11
2762592,521.3,1,0.48,0.05,17345,48307,MTNORAM.PARCEL,MTNORAM.53DV,9/13/2022 22:09,9/14/2022 18:09
2604860,963.9,26,194.1,22.1,17050,32809,CORP.LTL,CORP.53DV,5/2/2022 17:05,5/9/2022 17:05
446035,799.87,20,1.75,20.0,38637,32811-6461,CORP.PARCEL,CORP.53DV,9/8/2022 22:09,9/12/2022 19:09
3947270,207.6,1,0.74,0.09,37921,30328,MTNORAM.PARCEL,MTNORAM.53DV,1/20/2022 22:01,1/21/2022 21:01
3007156,2641.8,1,0.16,0.01,17345,92708,MTNORAM.PARCEL,MTNORAM.53DV,7/11/2022 17:07,7/16/2022 4:07
3736104,923.2,2,3.1,0.22,37921,68124,MTNORAM.PARCEL,MTNORAM.53DV,1/27/2022 22:01,1/28/2022 21:01
2876461,1480.7,2,1.65,0.1,17345,77030,MTNORAM.PARCEL,MTNORAM.53DV,7/11/2022 17:07,7/12/2022 20:07
2633116,3022.1,200,21110.0,2661.0,92154,2019,CORP.TL,CORP.53DV,4/29/2022 18:04,5/16/2022 13:05
4033541,281.3,0,40000.0,2200.0,54914,55014,MTNORAM.TL,MTNORAM.53DV,11/18/2021 2:11,11/18/2021 15:11
2981192,2408.1,1,6.7,0.29,17345,89074,MTNORAM.PARCEL,MTNORAM.53DV,7/5/2022 23:07,7/7/2022 0:07
87023,1075.8,4,1.0,0.0,38134,7003,CORP.PARCEL,CORP.53DV,7/26/2022 16:07,7/27/2022 21:07
4291919,222.7,4,2.21,0.1,17345,15065,MTNORAM.PARCEL,MTNORAM.53DV,4/25/2022 21:04,4/26/2022 18:04
1083439,91.9,2,202.0,14.81,26323,26041,CORP.LTL,CORP.53DV,2/10/2022 10:02,2/12/2022 17:02
2683603,35.3,1,54.0,5.88,94801,94526,CORP.LTL,CORP.53DV,6/1/2022 21:06,6/2/2022 16:06
4214544,918.2,1,2.2,0.1,17345,34471,MTNORAM.PARCEL,MTNORAM.53DV,6/22/2022 0:06,6/22/2022 18:06
4581517,1498.5,1,0.96,0.09,17345,77478,MTNORAM.PARCEL,MTNORAM.53DV,5/19/2022 22:05,5/20/2022 19:05
711011,890.2,4,15.4,0.52,38134,78045,CORP.PARCEL,CORP.53DV,3/10/2022 20:03,3/14/2022 23:03
3951871,266.3,192,48.0,2.75,8512,16635,MTNORAM.PARCEL,MTNORAM.53DV,12/9/2021 0:12,12/9/2021 5:12
3444824,690.1,7,1.94,0.09,17345,49601,MTNORAM.PARCEL,MTNORAM.53DV,8/24/2022 17:08,8/25/2022 17:08
846712,251.7,1,59.0,22.78,21740,23950,CORP.LTL,CORP.53DV,2/3/2022 20:00,2/7/2022 20:00
374778,78.2,4,317.0,62.27,80216,80910,CORP.LTL,CORP.53DV,7/22/2022 20:07,7/23/2022 19:07
1687882,731.4,1,2.32,0.06,53158,35216,CORP.PARCEL,CORP.53DV,11/10/2021 20:11,11/11/2021 21:11
1856034,228.4,2,183.0,75.14,91748,93401,CORP.LTL,CORP.53DV,10/7/2021 3:10,10/7/2021 20:00
2642321,11.3,38,3803.1,1098.43,80011,80216,CORP.TL,CORP.53DV,4/26/2022 20:00,4/26/2022 20:00
2061945,14.8,2,202.0,14.81,33018,33125,CORP.LTL,CORP.53DV,11/8/2021 9:11,11/8/2021 17:11
4763112,303.31,5,3000.0,650.0,20300,25903,MTNORAM.TL,MTNORAM.11DV,4/20/2022 0:00,4/20/2022 12:30
4616416,796.7,2,1.67,0.08,17345,4736,MTNORAM.PARCEL,MTNORAM.53DV,5/9/2022 17:05,5/10/2022 19:05
351467,190.2,2,241.0,83.99,75062,75503,CORP.LTL,CORP.53DV,9/16/2022 20:00,9/21/2022 20:00
1976920,1020.82,1,3.2,0.0,38637,33172-2606,CORP.PARCEL,CORP.53DV,11/6/2021 22:11,11/9/2021 20:11
1996204,726.9,430,457.95,44.68,60188,24401,CORP.LTL,CORP.53DV,10/21/2021 21:10,10/22/2021 21:10
155767,779.6,50,350.0,11.4,53158,39110,CORP.LTL,CORP.53DV,7/29/2022 0:07,8/5/2022 12:08
2841014,719.5,1,0.27,0.03,17345,30114,MTNORAM.PARCEL,MTNORAM.53DV,9/14/2022 22:09,9/15/2022 18:09
968132,1796.3,5,765.0,157757.05,38637,90660,CORP.LTL,CORP.53DV,1/27/2022 22:01,2/1/2022 22:02
1330446,264.2,132,654.0,144.55,30122,28273,CORP.LTL,CORP.53DV,1/14/2022 20:00,1/20/2022 20:00
18657,1021.8,1,1.07,0.09,38134,33175,CORP.PARCEL,CORP.53DV,8/29/2022 21:08,8/31/2022 19:08
2544266,782.63,1,1.4,168.0,38637,44062-8408,CORP.PARCEL,CORP.53DV,5/20/2022 22:05,5/24/2022 19:05
1389093,1156.84,1,6.83,700.0,38637,12550-3718,CORP.PARCEL,CORP.53DV,12/10/2021 23:12,12/15/2021 20:12
232683,43.7,4,348.0,64.93,33578,34211,CORP.LTL,CORP.53DV,7/9/2022 13:07,7/9/2022 13:07
3347783,1013.8,8,2.22,0.1,17345,34652,MTNORAM.PARCEL,MTNORAM.53DV,8/15/2022 21:08,8/16/2022 17:08
4766540,506.2,432,57.15,4.13,8512,43125,MTNORAM.PARCEL,MTNORAM.53DV,4/15/2022 0:04,4/18/2022 19:04
2303778,966.6,675,213.0,3.12,30083,13211,CORP.LTL,CORP.53RF,4/4/2022 15:04,4/5/2022 12:04
1459761,679.7,2,5.44,0.0,17050,30655,CORP.PARCEL,CORP.53DV,11/29/2021 19:11,11/30/2021 23:11
2447037,23.8,4,478.0,76.96,66105,66061,CORP.LTL,CORP.53DV,4/6/2022 14:04,4/13/2022 15:04
1185236,156.6,1,0.15,0.01,38134,38464,CORP.PARCEL,CORP.53DV,12/1/2021 23:12,12/2/2021 21:12
3531518,522.1,10,0.78,0.03,17345,28173,MTNORAM.PARCEL,MTNORAM.53DV,9/1/2022 12:09,9/3/2022 18:09
4227948,845.7,0,17714.57,856.46,17406,53916,MTNORAM.TL,MTNORAM.53DV,4/8/2022 15:00,4/11/2022 23:59
4848771,450.2,2,3.45,0.11,17345,43566,MTNORAM.PARCEL,MTNORAM.53DV,6/6/2022 23:06,6/8/2022 18:06
3265167,2436.9,1,0.55,0.05,37921,94550,MTNORAM.PARCEL,MTNORAM.53DV,8/4/2022 21:08,8/5/2022 23:08
1807038,12.7,90,342.0,21.78,90810,90250,CORP.LTL,CORP.53DV,11/6/2021 0:11,11/12/2021 16:11
76389,501.4,1,0.05,0.0,38134,76107,CORP.PARCEL,CORP.53DV,9/7/2022 19:09,9/8/2022 22:09
2796574,180.8,2,0.55,0.03,17345,7094,MTNORAM.PARCEL,MTNORAM.53DV,9/7/2022 15:09,9/8/2022 17:09
2302682,459.0,75,21.6,0.04,30083,33805,CORP.PARCEL,CORP.53DV,6/10/2022 14:06,6/13/2022 16:06
4384938,954.6,1,4.62,0.13,17345,32765,MTNORAM.PARCEL,MTNORAM.53DV,6/16/2022 16:06,6/18/2022 18:06
2338644,2565.76,2,4.52,554.62,90660,96813-3920,CORP.PARCEL,CORP.53DV,4/17/2022 0:04,4/20/2022 1:04
2191021,1145.7,2,0.5,0.0,38134,11772,CORP.PARCEL,CORP.53DV,4/20/2022 20:04,4/21/2022 22:04
3148456,1187.2,2,1.66,0.07,17345,33157,MTNORAM.PARCEL,MTNORAM.53DV,7/25/2022 18:07,7/27/2022 17:07
1536188,987.0,8,0.58,0.08,38134,18106,CORP.PARCEL,CORP.53DV,12/6/2021 15:12,12/8/2021 21:12
679654,465.4,7,0.75,0.06,38134,41071,CORP.PARCEL,CORP.53DV,3/17/2022 15:03,3/21/2022 22:03
3325249,662.6,2,1.66,0.08,17345,37343,MTNORAM.PARCEL,MTNORAM.53DV,8/11/2022 17:08,8/12/2022 17:08
699536,412.9,3,0.12,0.61,38134,71351,CORP.PARCEL,CORP.53DV,3/21/2022 20:03,3/23/2022 21:03
4960517,1352.2,2809,13866.01,2387.84,76131,N3V 1E8,TL,PLNA.53DV,7/19/2021 13:07,7/22/2021 19:07
3004274,413.5,1,0.54,0.05,17345,27330-5067,MTNORAM.PARCEL,MTNORAM.53DV,7/11/2022 16:07,7/12/2022 18:07
4455754,1100.4,2,0.56,0.02,17345,70427,MTNORAM.PARCEL,MTNORAM.53DV,5/9/2022 17:05,5/10/2022 21:05
150706,257.1,8,3.9,0.09,53158,46143,CORP.PARCEL,CORP.53DV,6/30/2022 17:06,7/1/2022 22:07
4437259,471.5,1,0.84,0.08,37921,21742-6797,MTNORAM.PARCEL,MTNORAM.53DV,4/7/2022 21:04,4/8/2022 18:04
4924506,334.0,1,0.16,0.01,17345,43812,MTNORAM.PARCEL,MTNORAM.53DV,3/30/2022 21:03,3/31/2022 20:03
1692170,752.6,8295,13427.22,553.37,53158,13211,CORP.TL,CORP.53RF,10/1/2021 0:10,10/5/2021 12:10
685317,694.9,4,23.2,1.3,38134,26003,CORP.PARCEL,CORP.53DV,3/10/2022 21:03,3/14/2022 16:03
4614254,2770.4,56,35503.0,1.0,17406,93706,MTNORAM.TL,MTNORAM.53RF,5/13/2022 9:00,5/17/2022 6:00
2626861,253.7,18,1842.0,506.68,64153,63114,CORP.TL,CORP.53DV,3/31/2022 20:00,4/1/2022 20:00
4379434,561.9,1,0.28,0.03,17345,49068-1167,MTNORAM.PARCEL,MTNORAM.53DV,4/5/2022 3:04,4/5/2022 19:04
741534,486.1,4,6.5,1.04,53158,64683,CORP.PARCEL,CORP.53DV,2/17/2022 0:02,2/21/2022 21:02
1416701,801.88,1,2.25,386.72,38637,32792-2105,CORP.PARCEL,CORP.53DV,12/16/2021 23:12,12/20/2021 20:12
3636977,456.7,2,2.48,0.12,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/16/2022 22:03,3/17/2022 20:03
1611721,0.0,4,27.75,0.53,38134,971,CORP.PARCEL,CORP.53DV,11/1/2021 21:11,11/3/2021 20:11
3109253,923.3,1,0.16,0.01,17345,36732,MTNORAM.PARCEL,MTNORAM.53DV,7/20/2022 18:07,7/25/2022 23:07
1476845,115.8,204,14220.0,2151.0,92154,91752,CORP.TL,CORP.53DV,1/21/2022 8:01,1/26/2022 14:01
992175,932.14,1,2.25,253.75,38637,17331-9773,CORP.PARCEL,CORP.53DV,3/17/2022 22:03,3/21/2022 19:03
3129175,552.4,2,1.1,0.07,17345,3570,MTNORAM.PARCEL,MTNORAM.53DV,7/25/2022 17:07,7/26/2022 19:07
2578352,401.53,2,3.38,999.38,38637,40422-1236,CORP.PARCEL,CORP.53DV,4/22/2022 22:04,4/26/2022 19:04
925769,266.2,22295,138.0,7.0,75261,77489,CORP.TL,CORP.53BK,1/31/2022 2:01,1/31/2022 7:01
2243000,1032.6,1,14.45,0.28,53158,80011,CORP.PARCEL,CORP.53DV,3/30/2022 21:03,4/1/2022 22:04
2766041,2643.3,4,4.98,0.23,17345,92592,MTNORAM.PARCEL,MTNORAM.53DV,9/13/2022 12:09,9/15/2022 0:09
380134,152.3,2,287.0,47.32,30013,37406,CORP.LTL,CORP.53DV,9/7/2022 20:00,9/9/2022 20:00
2239382,1207.6,0,0.19,0.01,53158,33525,CORP.PARCEL,CORP.53DV,5/2/2022 16:05,5/4/2022 14:05
3979643,482.5,24,5.1,0.08,8512,27407,MTNORAM.PARCEL,MTNORAM.53DV,12/28/2021 22:12,12/29/2021 15:12
1083744,20.7,2,302.0,65.73,24290,37656-2136,CORP.LTL,CORP.53DV,3/10/2022 10:03,3/10/2022 15:03
2756609,707.6,10,2.77,0.13,17345,30096,MTNORAM.PARCEL,MTNORAM.53DV,9/6/2022 21:09,9/8/2022 19:09
3147031,123.8,2,2.81,0.06,17345,8081,MTNORAM.PARCEL,MTNORAM.53DV,7/25/2022 22:07,7/27/2022 17:07
574779,24.7,1,72.0,36.0,21076,21784,CORP.LTL,CORP.53DV,8/25/2022 18:08,8/18/2022 0:00
626936,50.1,1,115.0,50.47,11218-2405,7647,CORP.LTL,CORP.53DV,9/8/2022 19:09,9/14/2022 16:09
4933731,500.7,2,1.67,0.08,17345,29593,MTNORAM.PARCEL,MTNORAM.53DV,5/16/2022 22:05,5/17/2022 21:05
1410173,692.3,1,0.08,1.0,38637,53081-3108,CORP.PARCEL,CORP.53DV,12/16/2021 23:12,12/17/2021 14:12
4924674,248.7,1,1.1,0.05,17345,14701,MTNORAM.PARCEL,MTNORAM.53DV,3/30/2022 21:03,3/31/2022 18:03
512266,485.5,2,233.0,76.5,38133,75062,CORP.LTL,CORP.53DV,7/29/2022 16:07,7/29/2022 17:07
3808207,456.7,1,1.65,0.08,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/9/2022 0:03,3/9/2022 22:03
511847,23.5,5,5.0,1.17,77040,77478,CORP.TL,CORP.53BK,9/14/2022 5:09,9/14/2022 6:09
3447185,292.5,1440,158.85,7.05,46158,48174,MTNORAM.LTL,MTNORAM.53DV,8/25/2022 17:08,8/29/2022 12:08
1485029,59.1,1,48.0,17.08,7647,8810,CORP.LTL,CORP.53DV,1/14/2022 16:01,1/22/2022 18:01
681433,866.6,6,1.5,0.0,38134,20901,CORP.PARCEL,CORP.53DV,2/8/2022 18:02,2/9/2022 21:02
1257069,2116.0,0,0.94,0.02,53158,94533,CORP.PARCEL,CORP.53DV,1/20/2022 23:01,1/22/2022 1:01
4462780,105.3,3,5.66,0.19,17345,18969,MTNORAM.PARCEL,MTNORAM.53DV,5/16/2022 22:05,5/17/2022 23:05
1219935,351.3,4,18.0,1.8,53158,63301,CORP.PARCEL,CORP.53DV,12/28/2021 15:12,12/30/2021 23:12
3141125,1542.5,48,8.2,0.66,8512,76262,MTNORAM.PARCEL,MTNORAM.53DV,7/25/2022 23:07,7/28/2022 21:07
3934539,2446.1,24,1.95,0.18,8512,85353,MTNORAM.PARCEL,MTNORAM.53DV,1/19/2022 1:01,1/21/2022 0:01
880668,2782.0,1,1.85,0.14,90810,7033,CORP.PARCEL,CORP.53DV,1/27/2022 17:01,2/2/2022 15:02
1890743,1100.23,1,2.25,253.75,38637,13069-2731,CORP.PARCEL,CORP.53DV,11/13/2021 23:11,11/17/2021 20:11
3502531,600.5,1,0.27,0.03,37921,70115-8141,MTNORAM.PARCEL,MTNORAM.53DV,8/30/2022 21:08,8/31/2022 20:08
1209611,854.9,6,80.7,2.1,53158,12549,CORP.PARCEL,CORP.53DV,1/18/2022 19:01,1/20/2022 19:01
2548968,1031.07,1,2.26,277.31,38637,33133-3410,CORP.PARCEL,CORP.53DV,4/27/2022 22:04,4/29/2022 19:04
3937428,2822.5,1600,54.4,4.67,8512,95834,MTNORAM.PARCEL,MTNORAM.53DV,12/9/2021 0:12,12/9/2021 8:12
2277956,1159.6,0,0.19,0.01,53158,77479,CORP.PARCEL,CORP.53DV,4/28/2022 11:04,4/29/2022 19:04
4942988,1583.61,2107,14715.26,1853.44,76131,T4A 0V6,TL,PLNA.53DV,7/16/2022 15:07,7/20/2022 13:07
320984,2197.5,2,75.4,8.34,90810,30260,CORP.PARCEL,CORP.53DV,8/23/2022 7:08,8/29/2022 12:08
3427696,1567.1,3,0.84,0.04,17345,79106,MTNORAM.PARCEL,MTNORAM.53DV,8/23/2022 17:08,8/24/2022 20:08
4460444,1128.6,2,1.11,0.05,17345,33434,MTNORAM.PARCEL,MTNORAM.53DV,5/26/2022 23:05,5/27/2022 19:05
4855588,608.8,2,1.66,0.07,17345,40069,MTNORAM.PARCEL,MTNORAM.53DV,5/10/2022 17:05,5/11/2022 22:05
2451641,414.5,35,3568.5,1004.83,30013,27560,CORP.TL,CORP.53DV,6/8/2022 20:00,6/8/2022 20:00
3140274,13.0,37,37057.2,1842.07,92335,91752,MTNORAM.TL,MTNORAM.53DV,7/27/2022 19:07,7/27/2022 20:07
4039176,318.2,1064,41815.2,10.64,N9V 2Z6,60544,MTNORAM.TL,MTNORAM.53DV,11/28/2021 0:00,11/29/2021 10:00
2515658,998.89,1,2.25,386.72,38637,33442-2800,CORP.PARCEL,CORP.53DV,4/14/2022 22:04,4/18/2022 19:04
2713201,415.3,1,0.51,0.06,17345,01923-3783,MTNORAM.PARCEL,MTNORAM.53DV,7/5/2022 22:07,7/6/2022 17:07
767922,850.1,2215,466.65,11.11,53158,73179,CORP.LTL,CORP.53RF,3/1/2022 14:03,3/1/2022 20:03
1021818,759.57,2,4.58,1356.68,38637,27601-1011,CORP.PARCEL,CORP.53DV,2/24/2022 23:02,2/28/2022 20:02
1889641,918.17,1,3.1,450.0,38637,34947-2528,CORP.PARCEL,CORP.53DV,9/29/2021 22:09,10/1/2021 19:10
753622,1074.0,3,52.2,1.92,53158,1960,CORP.PARCEL,CORP.53DV,1/28/2022 0:01,1/31/2022 22:01
4345415,106.8,2,1.39,0.06,17345,8030,MTNORAM.PARCEL,MTNORAM.53DV,6/22/2022 22:06,6/23/2022 18:06
3328359,1006.2,2,1.66,0.07,17345,33613,MTNORAM.PARCEL,MTNORAM.53DV,8/11/2022 23:08,8/12/2022 18:08
447026,1007.54,1,2.25,386.72,38637,33311-6653,CORP.PARCEL,CORP.53DV,7/13/2022 22:07,7/15/2022 19:07
4060556,1153.0,0,4094.0,607.74,78264,31520,MTNORAM.TL,MTNORAM.45FB,10/30/2021 9:00,11/3/2021 14:11
308772,188.1,2173,4907.68,358.27,90810,93257,CORP.LTL,CORP.53DV,7/27/2022 22:07,7/28/2022 15:07
3513005,1199.3,30,2.33,0.08,17345,51024,MTNORAM.PARCEL,MTNORAM.53DV,8/31/2022 18:08,9/2/2022 19:09
2862605,865.6,2,1.67,0.08,17345,63628,MTNORAM.PARCEL,MTNORAM.53DV,9/16/2022 11:09,9/20/2022 23:09
1871383,247.5,77,8475.0,1673.1,30013,29708,CORP.TL,CORP.53DV,9/30/2021 20:00,10/1/2021 20:00
153319,854.9,5541,5413.99,254.31,53158,12549,CORP.TL,CORP.53RF,8/29/2022 16:08,8/31/2022 12:08
149706,839.8,0,0.94,0.02,53158,13690,CORP.PARCEL,CORP.53DV,9/3/2022 17:09,9/6/2022 23:09
3909554,2444.1,24,6.0,0.39,8512,85043,MTNORAM.PARCEL,MTNORAM.53DV,1/10/2022 20:01,1/13/2022 0:01
2145047,0.0,4,1.15,0.05,38134,965,CORP.PARCEL,CORP.53DV,5/26/2022 0:05,5/26/2022 21:05
2077294,656.7,3,43.35,0.84,38134,27407,CORP.PARCEL,CORP.53DV,4/1/2022 21:04,4/5/2022 16:04
212637,833.4,1,12.85,0.41,53158,7039,CORP.PARCEL,CORP.53DV,9/15/2022 20:09,9/19/2022 18:09
4708113,468.6,2,0.36,0.01,17345,45140,MTNORAM.PARCEL,MTNORAM.53DV,4/7/2022 22:04,4/11/2022 20:04
1527235,2092.2,41,2.6,0.17,38134,94520,CORP.PARCEL,CORP.53DV,9/28/2021 13:09,10/2/2021 0:10
1692400,604.6,126,667.8,15.37,53158,38654,CORP.LTL,CORP.53DV,10/6/2021 23:10,10/11/2021 12:10
3294193,513.1,1152,150.58,10.37,8512,43123,MTNORAM.LTL,MTNORAM.53DV,8/10/2022 14:08,8/12/2022 18:08
4926195,2920.2,0,10.66,0.44,93706,12010,MTNORAM.PARCEL,MTNORAM.53DV,5/5/2022 19:05,5/11/2022 18:05
1282658,5.0,50,4864.0,1312.64,94801,94801,CORP.TL,CORP.53DV,1/5/2022 20:00,1/5/2022 20:00
3282937,2231.9,3,1.18,0.09,37921,93268,MTNORAM.PARCEL,MTNORAM.53DV,8/8/2022 22:08,8/9/2022 15:08
1563333,798.8,7,0.79,0.08,38134,22601,CORP.PARCEL,CORP.53DV,10/25/2021 19:10,10/26/2021 18:10
3268712,944.1,1,10.08,0.85,37921,77084-5811,MTNORAM.PARCEL,MTNORAM.53DV,8/8/2022 22:08,8/9/2022 13:08
3301054,1193.9,4,39.51,1.2,17345,33189,MTNORAM.PARCEL,MTNORAM.53DV,8/9/2022 17:08,8/10/2022 12:08
1649745,578.6,1,11.4,0.3,38134,60035,CORP.PARCEL,CORP.53DV,11/24/2021 22:11,11/26/2021 21:11
4374413,82.4,20,40000.0,1728000.0,66600,25300,MTNORAM.TL,MTNORAM.53DV,4/5/2022 0:00,4/5/2022 8:29
508872,585.05,1,2.25,386.72,38637,60164-1648,CORP.PARCEL,CORP.53DV,7/16/2022 22:07,7/19/2022 20:07
3578808,550.7,42,40486.38,1555.21,46158,30268,MTNORAM.TL,MTNORAM.53DV,2/4/2022 22:02,2/5/2022 13:02
4128943,2389.5,72,11.9,0.78,8512,85284,MTNORAM.PARCEL,MTNORAM.53DV,10/8/2021 14:10,10/11/2021 21:10
4599030,176.7,1,0.83,0.04,17345,7106,MTNORAM.PARCEL,MTNORAM.53DV,5/19/2022 22:05,5/20/2022 17:05
3346790,395.6,1,0.28,0.03,37921,31705,MTNORAM.PARCEL,MTNORAM.53DV,8/15/2022 21:08,8/16/2022 17:08
799516,372.7,11,19.25,0.63,53158,55112,CORP.PARCEL,CORP.53DV,2/18/2022 20:02,2/23/2022 0:02
712988,794.0,19,0.93,0.68,38134,32751,CORP.PARCEL,CORP.53DV,3/22/2022 21:03,3/24/2022 19:03
1199209,0.0,17,24.79,1.36,53158,965,CORP.PARCEL,CORP.53DV,12/10/2021 23:12,12/13/2021 20:12
2957549,1128.2,2,6.63,0.31,17345,68114,MTNORAM.PARCEL,MTNORAM.53DV,6/29/2022 22:06,6/30/2022 19:06
4661425,215.3,3,2.76,0.13,17345,23236,MTNORAM.PARCEL,MTNORAM.53DV,6/8/2022 21:06,6/9/2022 17:06
820459,190.2,2,170.0,64.73,46168,60155,CORP.LTL,CORP.53DV,3/15/2022 20:00,3/16/2022 20:00
1989984,1296.1,1,3.39,2.54,17050,58102,CORP.PARCEL,CORP.53DV,10/28/2021 13:10,11/3/2021 13:11
358553,249.7,40,4982.7,1072.11,75062,77041,CORP.TL,CORP.53DV,9/16/2022 20:00,9/16/2022 20:00
4625266,78.2,1,0.28,0.03,37921,37321,MTNORAM.PARCEL,MTNORAM.53DV,3/28/2022 21:03,3/29/2022 21:03
2004506,1800.0,4,465.8,95.5,64153,94545,CORP.LTL,CORP.53DV,11/24/2021 20:00,12/7/2021 20:00
4447946,1701.5,2,4.95,0.24,17345,78414,MTNORAM.PARCEL,MTNORAM.53DV,6/1/2022 18:06,6/2/2022 19:06
2896579,680.5,7,4.87,0.4,37921,71303-3520,MTNORAM.PARCEL,MTNORAM.53DV,9/20/2022 21:09,9/22/2022 13:09
1547866,1119.7,1,2.4,0.12,38134,12550.0,CORP.PARCEL,CORP.53DV,11/3/2021 1:11,11/4/2021 19:11
4559689,2061.4,4,3.32,0.17,17345,84088,MTNORAM.PARCEL,MTNORAM.53DV,3/31/2022 20:03,4/4/2022 14:04
4588829,1499.8,5,7.46,0.37,17345,77380,MTNORAM.PARCEL,MTNORAM.53DV,5/17/2022 22:05,5/18/2022 20:05
1983439,49.6,50,163750.0,58.33,77583,77041,CORP.LTL,CORP.01MM,11/19/2021 18:11,11/21/2021 4:11
3560016,776.0,4,1.1,0.05,17345,37055,MTNORAM.PARCEL,MTNORAM.53DV,9/6/2022 11:09,9/7/2022 19:09
1585431,222.6,2,0.21,0.01,38134,39232.0,CORP.PARCEL,CORP.53DV,11/1/2021 22:11,11/3/2021 2:11
1640573,532.4,1,1.3,0.05,38134,64120,CORP.PARCEL,CORP.53DV,9/21/2021 13:09,9/23/2021 13:09
4537625,377.4,2,5.54,0.25,17345,27288,MTNORAM.PARCEL,MTNORAM.53DV,6/14/2022 1:06,6/14/2022 17:06
4456552,402.1,3,4.97,0.23,17345,2124,MTNORAM.PARCEL,MTNORAM.53DV,4/11/2022 19:04,4/12/2022 18:04
355438,327.6,22,2305.2,467.06,75062,72204,CORP.LTL,CORP.53DV,7/7/2022 20:00,7/8/2022 20:00
1978002,736.89,1,2.91,466.02,38637,44136-1761,CORP.PARCEL,CORP.53DV,9/24/2021 22:09,9/28/2021 19:09
946613,776.61,1,2.25,386.72,38637,33634-5206,CORP.PARCEL,CORP.53DV,3/9/2022 23:03,3/11/2022 20:03
600884,1580.8,14,3.0,0.0,19443,77489,CORP.TL,CORP.53DV,9/20/2022 15:09,9/22/2022 17:09
1293433,444.1,25,2465.0,506.75,21740,2038,CORP.LTL,CORP.53DV,12/2/2021 20:00,12/6/2021 20:00
4070051,226.3,0,46.92,78.2,54729,56425,MTNORAM.TL,MTNORAM.53DV,11/30/2021 9:11,11/30/2021 14:11
2708178,2601.5,2,2.21,0.1,17345,92374,MTNORAM.PARCEL,MTNORAM.53DV,9/8/2022 23:09,9/10/2022 0:09
1275763,206.8,3,0.4,0.0,78154,77583,CORP.TL,CORP.53BK,12/1/2021 3:12,12/1/2021 7:12
295615,31.7,1,74.16,10.02,90810,92618,CORP.LTL,CORP.53DV,8/4/2022 7:08,8/12/2022 18:08
3471842,750.0,24,6.63,0.31,17345,49770,MTNORAM.PARCEL,MTNORAM.53DV,8/29/2022 13:08,8/30/2022 20:08
4052939,447.9,0,3888.91,478.87,17011,5452,MTNORAM.LTL,MTNORAM.53DV,10/19/2021 20:10,10/21/2021 15:10
2352969,254.3,67,7893.0,2309.14,21740,10901,CORP.TL,CORP.53DV,6/1/2022 20:00,6/2/2022 20:00
2377273,2025.7,1,66.0,10.16,90810,37138,CORP.LTL,CORP.53DV,4/4/2022 21:04,4/15/2022 16:04
559885,27.4,181,9657.0,1290.0,92154,92121,CORP.TL,CORP.53DV,9/6/2022 23:09,9/6/2022 23:09
1982459,168.2,1,1000.0,2500.0,27370,29607,CORP.TL,CORP.53DV,10/21/2021 20:00,10/22/2021 20:00
4581519,2479.9,1,0.56,0.03,37921,94115-2380,MTNORAM.PARCEL,MTNORAM.53DV,5/19/2022 21:05,5/21/2022 0:05
556153,462.4,202,14328.0,1905.0,92154,95304,CORP.TL,CORP.53DV,9/12/2022 7:09,9/13/2022 15:09
413796,1022.51,2,4.51,531.06,38637,33122-1208,CORP.PARCEL,CORP.53DV,6/25/2022 22:06,6/28/2022 19:06
2709611,1695.3,6,1.66,0.07,17345,81019,MTNORAM.PARCEL,MTNORAM.53DV,8/15/2022 11:08,8/16/2022 17:08
2657088,564.7,41,1163.08,40912.1,30213,46140,CORP.LTL,CORP.53IM,6/14/2022 19:06,6/15/2022 8:06
4385621,497.4,1,1.65,0.08,17345,48210,MTNORAM.PARCEL,MTNORAM.53DV,6/6/2022 22:06,6/7/2022 17:06
3327318,1469.9,3,2.21,0.12,17345,58482,MTNORAM.PARCEL,MTNORAM.53DV,8/11/2022 17:08,8/12/2022 22:08
1824829,146.0,2236,85.25,37.33,77303,77489,CORP.TL,CORP.53BK,11/10/2021 6:11,11/10/2021 9:11
3130676,515.8,2,1.67,0.08,17345,29501,MTNORAM.PARCEL,MTNORAM.53DV,7/25/2022 17:07,7/26/2022 18:07
854830,1895.2,1166,1698.52,128.93,90810,39601,CORP.LTL,CORP.53DV,3/10/2022 13:03,3/18/2022 12:03
